,Movie,Description,Release Date,Director,Rating,Duration,Genre,Stars
22,Die Mumie,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.",1999,Stephen Sommers,7,124 min,"Action, Adventure, Fantasy","Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo"
23,Fluch der Karibik,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",2003,Gore Verbinski,8,143 min,"Action, Adventure, Fantasy","Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley"
24,Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",2015,George Miller,8.1,120 min,"Action, Adventure, Sci-Fi","Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz"
25,The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2008,Christopher Nolan,9,152 min,"Action, Crime, Drama","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
26,James Bond : Casino Royale,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",2006,Martin Campbell,8,144 min,"Action, Adventure, Thriller","Daniel Craig, Eva Green, Judi Dench, Jeffrey Wrigh"
27,James Bond : Skyfall,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",2012,Sam Mendes,7.8,143 min,"Action, Adventure, Thriller","Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench"
28,Die Bourne Identität,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",2002,Doug Liman,7.9,119 min,"Action, Mystery, Thriller","Franka Potente, Matt Damon, Chris Cooper, Clive Owen"
29,Das Bourne Ultimatum,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,2007,Paul Greengrass,8,115 min,"Action, Adventure, Mystery","Matt Damon, Edgar Ramírez, Joan Allen, Julia Stile"
30,Die Bourne Verschwörung,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",2004,Paul Greengrass,7.7,108 min,"Action, Mystery, Thriller","Matt Damon, Franka Potente, Joan Allen, Brian Cox"
31,Kill Bill: Vol. ,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",2004,Quentin Tarantino,8,137 min,"Action, Crime, Thriller","Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah"
32,Kill Bill - Vol. ,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",2003,Quentin Tarantino,8.1,111 min,"Action, Crime, Drama","Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen"
33,John Wick,An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him.,2014,"s:
Chad Stahelski, 
David Leitch",7.4,101 min,"Action, Crime, Thriller","Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe"
34,John Wick: Kapitel ,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",2017,Chad Stahelski,7.5,122 min,"Action, Crime, Thriller","Keanu Reeves, Riccardo Scamarcio, Ian McShane, Ruby Rose"
35,John Wick: Kapitel ,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",2019,Chad Stahelski,7.4,130 min,"Action, Crime, Thriller","Keanu Reeves, Halle Berry, Ian McShane, Laurence Fishburne"
